Detect Persistent changes in pattern
=============== Training the model Using Change Point Detection Algorithm===============
=============== End of training process ===============
Alert	Score	P-Value	Martingale value
0	71.52	0.01	159.92
0	72.30	0.02	649.94
0	72.94	0.06	1363.05
0	73.89	0.05	1387.90
1	75.24	0.03	125.78 <-- alert is on, predicted changepoint
0	76.73	0.03	36.47
0	77.94	0.06	17.83
0	78.78	0.10	11.64
0	79.86	0.09	6.52
0	81.43	0.05	3.83
1	83.91	0.01	7.30 <-- alert is on, predicted changepoint
0	87.10	0.01	25.25
0	90.97	0.02	97.36
0	95.23	0.03	240.08
0	99.56	0.05	233.62
1	103.74	0.06	61.12 <-- alert is on, predicted changepoint
0	107.43	0.08	13.24
0	111.13	0.08	4.11
0	115.51	0.06	2.33
0	120.81	0.04	2.49
0	125.89	0.05	2.99
0	129.23	0.09	2.68
0	130.66	0.15	1.54
0	130.89	0.22	0.50
0	129.91	0.35	0.08
0	126.70	0.16	0.03
1	119.91	0.00	1055.81 <-- alert is on, predicted changepoint
0	110.60	0.00	41886.66
0	100.50	0.02	373613.83
0	92.77	0.06	1879055.77
0	87.96	0.11	2711785.72
1	85.90	0.17	37.49 <-- alert is on, predicted changepoint
0	85.18	0.22	0.66
0	86.06	0.31	0.05
0	88.19	0.40	0.01
0	90.62	0.01	0.11
0	92.07	0.05	0.32
0	92.44	0.15	0.46
0	92.89	0.20	0.68
0	93.90	0.13	1.89
0	95.80	0.01	1.54
0	97.99	0.01	6.57
1	99.61	0.05	17.67 <-- alert is on, predicted changepoint
0	99.89	0.15	23.11
0	98.90	0.35	9.44
0	97.59	0.32	0.36
0	96.70	0.05	0.09
0	96.69	0.15	0.03
0	98.24	0.43	0.01
1	101.91	0.00	35.35 <-- alert is on, predicted changepoint
0	107.46	0.00	14354.79
0	113.56	0.01	43175.06
0	119.30	0.04	139756.69
0	124.32	0.07	709044.09
1	129.02	0.08	912.42 <-- alert is on, predicted changepoint
0	132.59	0.10	6.37
0	134.94	0.13	0.90
0	135.53	0.18	0.24
0	135.63	0.24	0.08
0	135.08	0.36	0.02
0	134.54	0.40	0.01
0	133.44	0.00	0.75
1	131.87	0.01	18.76 <-- alert is on, predicted changepoint
0	129.77	0.01	277.55
0	127.24	0.02	3632.05
0	125.19	0.05	22400.14
0	123.82	0.10	234.53
1	123.79	0.19	8.97 <-- alert is on, predicted changepoint
0	124.34	0.33	0.46
0	124.27	0.40	0.03
0	122.68	0.01	0.24
0	120.61	0.00	218.78
1	119.73	0.06	651.72 <-- alert is on, predicted changepoint
0	120.99	0.32	673.77
0	122.71	0.32	826.93
0	123.99	0.06	104.01
0	123.98	0.15	0.08
0	123.69	0.30	0.02
0	123.32	0.48	0.01
0	123.21	0.31	0.01
0	123.11	0.14	0.01
0	122.93	0.12	0.01
0	122.53	0.01	0.10
1	121.63	0.00	183.85 <-- alert is on, predicted changepoint
0	120.19	0.00	26246.56
0	118.47	0.01	248082.91
0	117.39	0.06	463388.23
0	117.27	0.16	52887.14
1	117.84	0.34	39.74 <-- alert is on, predicted changepoint
0	118.06	0.49	0.18
0	117.96	0.40	0.01
0	118.09	0.21	0.00
0	119.08	0.00	1.07
1	120.40	0.00	584.51 <-- alert is on, predicted changepoint
0	120.98	0.06	3995.56
0	120.42	0.27	5713.80
0	118.63	0.23	5253.37
0	116.06	0.00	2317.46
1	113.26	0.01	83.25 <-- alert is on, predicted changepoint
0	110.84	0.05	99.51
0	109.07	0.09	270.81
0	107.10	0.09	603.82
0	104.59	0.06	7.26
0	101.48	0.04	2.70
0	98.67	0.05	2.68
0	96.54	0.08	2.97
0	95.37	0.13	2.23
0	94.76	0.17	0.89
0	93.93	0.16	0.23
0	92.62	0.07	0.16
0	91.03	0.03	0.44
0	89.83	0.05	0.97
0	89.03	0.10	1.62
0	88.00	0.10	2.58
0	86.99	0.08	2.33
0	86.22	0.08	0.82
0	86.54	0.23	0.22
0	87.57	0.42	0.06
0	89.27	0.01	0.71
0	90.91	0.01	3.75
0	92.57	0.04	7.14
1	93.77	0.08	17.80 <-- alert is on, predicted changepoint
0	94.87	0.10	64.85
0	95.50	0.13	4.12
0	95.77	0.17	0.40
0	95.91	0.21	0.09
0	96.26	0.16	0.05
0	96.83	0.03	0.15
0	96.92	0.10	0.19
0	96.68	0.32	0.11
0	96.51	0.47	0.05
0	97.20	0.04	0.19
1	98.18	0.00	897.70 <-- alert is on, predicted changepoint
0	99.17	0.01	7814.02
0	99.44	0.10	21502.54
0	99.47	0.21	45087.13
0	98.89	0.47	4720.65
0	98.21	0.13	0.27
0	97.46	0.01	0.24
0	97.38	0.13	0.20
0	97.74	0.34	0.13
0	98.32	0.31	0.19
0	98.38	0.17	0.15
0	97.84	0.50	0.00
0	96.92	0.03	0.02
0	95.93	0.01	0.72
0	95.14	0.05	3.99
1	94.24	0.06	9.44 <-- alert is on, predicted changepoint
0	93.42	0.07	52.11
0	92.78	0.09	17.11
0	92.74	0.17	0.83
0	93.03	0.33	0.14
0	93.38	0.40	0.03
0	93.54	0.13	0.02
0	93.86	0.05	0.03
0	94.29	0.03	0.12
0	94.68	0.04	0.78
0	94.60	0.18	1.59
0	94.37	0.41	0.59
0	94.67	0.23	0.14
1	96.04	0.00	104543.38 <-- alert is on, predicted changepoint
0	98.22	0.00	86344887.69
0	99.98	0.02	553161772.72
0	100.22	0.13	1516259067.06
0	98.53	0.43	877023665.43
1	95.83	0.11	410.13 <-- alert is on, predicted changepoint
0	93.58	0.02	1.23
0	92.59	0.09	0.35
0	92.30	0.18	0.26
Counter: 366
