Detect Persistent changes in pattern
=============== Training the model Using Change Point Detection Algorithm===============
=============== End of training process ===============
Alert	Score	P-Value	Martingale value
0	73.56	0.13	108323.11
0	74.03	0.17	13252.21
0	74.33	0.20	46.92
0	74.41	0.23	0.39
0	74.98	0.16	0.04
0	76.03	0.03	0.05
0	77.44	0.01	0.36
0	78.34	0.04	1.07
0	79.00	0.08	2.16
0	79.27	0.13	3.03
0	79.06	0.23	2.95
0	78.39	0.41	1.25
0	77.82	0.36	0.15
0	78.06	0.32	0.01
0	79.09	0.25	0.00
0	80.27	0.01	0.01
0	80.96	0.03	0.03
0	80.82	0.14	0.05
0	80.08	0.35	0.06
0	78.72	0.31	0.07
0	76.82	0.02	0.75
0	74.71	0.01	15.08
0	72.92	0.04	4.39
0	71.79	0.08	1.86
0	71.42	0.14	1.82
0	71.69	0.23	2.63
0	72.32	0.35	2.34
0	72.51	0.45	0.16
0	71.87	0.36	0.01
0	70.69	0.02	0.01
0	69.78	0.01	0.10
0	69.57	0.08	0.17
0	69.74	0.19	0.21
0	69.72	0.26	0.28
0	69.30	0.22	0.52
0	68.52	0.07	2.30
0	67.90	0.02	1.56
0	67.47	0.05	0.30
0	67.20	0.09	0.25
0	66.64	0.09	0.50
0	65.88	0.06	1.79
0	64.80	0.03	10.58
1	63.82	0.04	19.18 <-- alert is on, predicted changepoint
0	62.94	0.05	9.21
0	62.53	0.10	4.56
0	62.40	0.16	2.77
0	62.26	0.21	1.29
0	61.62	0.15	0.59
0	60.40	0.03	0.69
0	58.79	0.01	2.72
0	57.31	0.02	6.11
0	56.13	0.05	11.39
1	55.18	0.08	20.66 <-- alert is on, predicted changepoint
0	54.44	0.12	34.36
0	53.98	0.15	33.18
0	53.93	0.20	5.27
0	53.87	0.24	0.24
0	53.50	0.20	0.03
0	53.00	0.11	0.02
0	52.53	0.05	0.03
0	52.47	0.10	0.03
0	52.56	0.20	0.02
0	52.89	0.41	0.01
0	53.23	0.34	0.01
0	53.56	0.10	0.02
0	53.69	0.08	0.02
0	53.58	0.20	0.01
0	53.33	0.41	0.00
0	53.20	0.43	0.00
0	53.40	0.46	0.00
0	53.71	0.13	0.00
0	54.00	0.02	0.01
0	54.17	0.05	0.02
0	54.38	0.06	0.05
0	54.68	0.06	0.29
0	54.87	0.09	1.18
0	55.18	0.07	6.54
0	55.49	0.06	13.58
0	55.90	0.04	5.16
0	55.84	0.14	1.85
0	55.44	0.38	0.35
0	54.86	0.22	0.11
0	54.44	0.04	0.20
0	53.91	0.02	0.52
0	53.24	0.03	0.91
0	52.38	0.04	1.13
0	51.71	0.06	2.57
0	51.22	0.09	9.90
0	51.12	0.15	14.41
0	51.48	0.28	2.77
0	52.31	0.43	0.21
0	53.39	0.08	0.09
0	54.47	0.01	0.25
0	55.22	0.05	0.30
0	55.70	0.10	0.27
0	55.88	0.16	0.25
0	55.97	0.21	0.33
0	55.94	0.27	0.51
0	55.88	0.33	0.15
0	55.88	0.37	0.01
0	56.03	0.24	0.00
0	56.36	0.00	1.40
1	56.92	0.00	2974.12 <-- alert is on, predicted changepoint
0	57.77	0.00	320962.83
0	58.93	0.01	10099178.48
0	60.21	0.02	135362570.81
0	61.53	0.03	1147113400.13
0	62.74	0.06	4242359239.87
0	64.02	0.07	6096696.63
1	65.18	0.08	5207.94 <-- alert is on, predicted changepoint
0	66.12	0.10	95.68
0	66.52	0.14	5.50
0	66.42	0.21	0.62
0	65.98	0.32	0.08
0	65.50	0.49	0.01
0	65.10	0.29	0.00
0	65.00	0.15	0.00
0	65.04	0.18	0.00
0	65.27	0.35	0.00
0	65.44	0.49	0.00
0	65.74	0.18	0.00
0	65.99	0.03	0.00
0	66.22	0.05	0.02
0	66.30	0.11	0.03
0	66.56	0.09	0.05
0	66.90	0.06	0.25
0	67.37	0.03	3.08
1	67.86	0.03	15.86 <-- alert is on, predicted changepoint
0	68.36	0.04	12.05
0	68.84	0.06	11.10
0	69.11	0.10	12.83
0	69.41	0.12	10.51
0	69.58	0.15	4.39
0	69.78	0.15	1.02
0	69.87	0.17	0.21
0	70.16	0.10	0.09
0	70.77	0.01	0.30
0	71.52	0.01	2.33
0	72.30	0.02	10.97
1	72.94	0.05	30.44 <-- alert is on, predicted changepoint
0	73.89	0.04	90.49
0	75.24	0.03	393.33
0	76.73	0.03	1057.55
0	77.94	0.05	328.85
0	78.78	0.09	48.24
0	79.86	0.09	12.60
0	81.43	0.07	8.77
0	83.91	0.03	11.62
1	87.10	0.02	18.06 <-- alert is on, predicted changepoint
0	90.97	0.02	28.28
0	95.23	0.03	48.45
0	99.56	0.04	89.45
0	103.74	0.06	133.48
0	107.43	0.08	121.90
0	111.13	0.09	50.31
0	115.51	0.08	14.63
0	120.81	0.06	5.39
0	125.89	0.06	2.78
0	129.23	0.09	1.51
0	130.66	0.13	0.73
0	130.89	0.19	0.32
0	129.91	0.28	0.11
0	126.70	0.49	0.02
0	119.91	0.07	0.02
0	110.60	0.00	1.18
0	100.50	0.01	7.41
1	92.77	0.04	20.47 <-- alert is on, predicted changepoint
0	87.96	0.09	41.34
0	85.90	0.15	75.32
0	85.18	0.20	168.09
0	86.06	0.27	46.16
0	88.19	0.39	0.16
0	90.62	0.39	0.01
0	92.07	0.15	0.00
0	92.44	0.10	0.00
0	92.89	0.16	0.00
0	93.90	0.16	0.00
0	95.80	0.08	0.01
0	97.99	0.03	0.06
0	99.61	0.04	0.44
0	99.89	0.11	0.56
0	98.90	0.26	0.25
0	97.59	0.46	0.09
0	96.70	0.35	0.05
0	96.69	0.25	0.02
0	98.24	0.49	0.00
0	101.91	0.01	0.00
0	107.46	0.00	2.47
1	113.56	0.01	68.49 <-- alert is on, predicted changepoint
0	119.30	0.03	844.59
0	124.32	0.06	4374.75
0	129.02	0.08	12308.94
0	132.59	0.11	48485.89
0	134.94	0.13	5476.87
0	135.53	0.18	6.44
0	135.63	0.23	0.26
0	135.08	0.30	0.03
0	134.54	0.39	0.01
0	133.44	0.39	0.00
0	131.87	0.05	0.00
0	129.77	0.01	0.04
0	127.24	0.02	0.35
0	125.19	0.04	1.56
0	123.82	0.08	5.00
0	123.79	0.16	11.02
1	124.34	0.26	15.90 <-- alert is on, predicted changepoint
0	124.27	0.31	2.82
0	122.68	0.16	0.16
0	120.61	0.01	0.22
0	119.73	0.04	0.24
0	120.99	0.24	0.09
0	122.71	0.45	0.04
0	123.99	0.24	0.04
0	123.98	0.22	0.05
0	123.69	0.25	0.04
0	123.32	0.34	0.00
0	123.21	0.43	0.00
0	123.11	0.45	0.00
0	122.93	0.22	0.00
0	122.53	0.04	0.00
0	121.63	0.00	0.05
0	120.19	0.00	4.72
1	118.47	0.01	146.48 <-- alert is on, predicted changepoint
0	117.39	0.04	1129.94
0	117.27	0.13	3588.86
0	117.84	0.26	3148.69
0	118.06	0.35	467.79
0	117.96	0.40	6.37
0	118.09	0.48	0.03
0	119.08	0.01	0.03
0	120.40	0.00	0.73
0	120.98	0.04	1.90
0	120.42	0.20	2.38
0	118.63	0.37	2.26
1	116.06	0.01	45.11 <-- alert is on, predicted changepoint
0	113.26	0.01	2463.34
0	110.84	0.03	944.29
0	109.07	0.07	23.73
0	107.10	0.09	12.31
0	104.59	0.08	26.89
0	101.48	0.06	133.26
1	98.67	0.06	36.02 <-- alert is on, predicted changepoint
0	96.54	0.08	3.39
0	95.37	0.12	0.96
0	94.76	0.16	0.44
0	93.93	0.18	0.23
0	92.62	0.15	0.14
0	91.03	0.09	0.10
0	89.83	0.07	0.09
0	89.03	0.09	0.08
0	88.00	0.09	0.10
0	86.99	0.10	0.15
0	86.22	0.11	0.23
0	86.54	0.20	0.18
0	87.57	0.41	0.04
0	89.27	0.20	0.02
0	90.91	0.02	0.08
0	92.57	0.02	0.29
0	93.77	0.06	0.45
0	94.87	0.09	0.53
0	95.50	0.13	0.78
0	95.77	0.18	1.65
0	95.91	0.21	1.55
0	96.26	0.21	0.16
0	96.83	0.14	0.03
0	96.92	0.15	0.01
0	96.68	0.25	0.01
0	96.51	0.38	0.00
0	97.20	0.09	0.00
0	98.18	0.00	0.45
0	99.17	0.01	10.54
1	99.44	0.07	19.70 <-- alert is on, predicted changepoint
0	99.47	0.15	19.14
0	98.89	0.34	14.60
0	98.21	0.43	13.31
0	97.46	0.15	8.22
0	97.38	0.10	0.15
0	97.74	0.25	0.01
0	98.32	0.49	0.00
0	98.38	0.42	0.00
0	97.84	0.39	0.00
0	96.92	0.03	0.00
0	95.93	0.00	0.11
0	95.14	0.03	0.38
0	94.24	0.04	1.85
0	93.42	0.07	10.90
1	92.78	0.10	40.89 <-- alert is on, predicted changepoint
0	92.74	0.16	89.57
0	93.03	0.27	12.60
0	93.38	0.40	0.16
0	93.54	0.46	0.01
0	93.86	0.21	0.00
0	94.29	0.03	0.01
0	94.68	0.05	0.01
0	94.60	0.15	0.01
0	94.37	0.30	0.01
0	94.67	0.21	0.02
1	96.04	0.00	35.30 <-- alert is on, predicted changepoint
0	98.22	0.00	81723.04
0	99.98	0.01	146494.71
0	100.22	0.09	77232.52
0	98.53	0.32	39805.73
0	95.83	0.32	38360.25
0	93.58	0.08	93758.71
1	92.59	0.07	349.07 <-- alert is on, predicted changepoint
0	92.30	0.13	0.22
Counter: 366
