Detect Persistent changes in pattern
=============== Training the model Using Change Point Detection Algorithm===============
=============== End of training process ===============
Alert	Score	P-Value	Martingale value
0	64.04	0.50	0.00
0	64.36	0.37	0.00
0	64.48	0.11	0.00
0	64.66	0.07	0.00
0	64.28	0.36	0.00
0	63.58	0.00	0.03
1	62.59	0.00	21.02 <-- alert is on, predicted changepoint
0	61.81	0.02	429.78
0	61.40	0.07	1973.25
0	61.39	0.15	1506.10
0	61.50	0.25	502.85
0	61.52	0.31	575.46
0	61.46	0.34	7.26
0	61.41	0.35	0.02
0	61.31	0.15	0.00
0	61.09	0.00	1.10
0	61.00	0.04	3.84
0	61.10	0.21	4.46
0	61.43	0.29	4.71
1	61.92	0.00	711.30 <-- alert is on, predicted changepoint
0	62.66	0.00	179864.35
0	63.48	0.01	1989614.58
0	64.08	0.04	6070.52
0	64.49	0.09	2940.96
0	64.92	0.11	5255.18
0	65.27	0.13	10980.79
1	65.37	0.17	135.39 <-- alert is on, predicted changepoint
0	65.18	0.27	0.68
0	65.01	0.39	0.03
0	64.72	0.36	0.00
0	64.26	0.04	0.01
0	63.48	0.00	0.29
0	62.88	0.03	1.21
0	62.23	0.04	4.09
0	61.89	0.09	11.06
1	61.46	0.11	35.13 <-- alert is on, predicted changepoint
0	61.51	0.19	63.02
0	61.72	0.30	10.59
0	62.16	0.47	0.07
0	62.22	0.34	0.01
0	62.09	0.34	0.00
0	61.70	0.35	0.00
0	61.40	0.15	0.00
0	61.09	0.04	0.00
0	61.22	0.17	0.00
0	61.80	0.44	0.00
0	62.82	0.02	0.03
0	63.69	0.01	0.83
0	64.20	0.05	4.84
0	64.26	0.13	5.51
0	64.36	0.19	1.32
0	64.51	0.23	1.01
0	64.78	0.20	2.07
0	64.94	0.15	0.26
0	65.49	0.02	0.14
0	66.68	0.00	11.92
1	68.58	0.00	884.23 <-- alert is on, predicted changepoint
0	70.44	0.01	9497.87
0	71.98	0.04	44385.98
0	72.87	0.09	93704.71
