Detect Persistent changes in pattern
=============== Training the model Using Change Point Detection Algorithm===============
=============== End of training process ===============
Alert	Score	P-Value	Martingale value
1	120.81	0.07	140.23 <-- alert is on, predicted changepoint
0	125.89	0.07	134.66
0	129.23	0.09	71.57
0	130.66	0.12	20.23
0	130.89	0.16	3.79
0	129.91	0.22	0.59
0	126.70	0.32	0.08
0	119.91	0.44	0.01
0	110.60	0.15	0.00
0	100.50	0.02	0.02
0	92.77	0.02	0.05
0	87.96	0.05	0.07
0	85.90	0.09	0.06
0	85.18	0.14	0.04
0	86.06	0.20	0.02
0	88.19	0.27	0.01
0	90.62	0.35	0.01
0	92.07	0.42	0.01
0	92.44	0.49	0.01
0	92.89	0.42	0.00
0	93.90	0.26	0.00
0	95.80	0.08	0.00
0	97.99	0.05	0.00
0	99.61	0.07	0.00
0	99.89	0.11	0.00
0	98.90	0.20	0.00
0	97.59	0.31	0.00
0	96.70	0.42	0.00
0	96.69	0.46	0.00
0	98.24	0.33	0.00
0	101.91	0.05	0.00
0	107.46	0.00	0.33
0	113.56	0.00	8.68
0	119.30	0.01	31.93
0	124.32	0.03	66.86
1	129.02	0.05	143.54 <-- alert is on, predicted changepoint
0	132.59	0.07	347.31
0	134.94	0.11	910.17
0	135.53	0.15	2263.65
0	135.63	0.20	4889.08
0	135.08	0.24	6486.74
0	134.54	0.29	1224.06
0	133.44	0.35	2.51
0	131.87	0.46	0.02
0	129.77	0.36	0.00
0	127.24	0.14	0.00
0	125.19	0.03	0.00
0	123.82	0.05	0.00
0	123.79	0.11	0.00
0	124.34	0.18	0.00
0	124.27	0.22	0.00
0	122.68	0.18	0.00
0	120.61	0.12	0.00
0	119.73	0.11	0.00
0	120.99	0.22	0.01
0	122.71	0.40	0.00
0	123.99	0.40	0.00
0	123.98	0.35	0.00
0	123.69	0.37	0.00
0	123.32	0.44	0.00
0	123.21	0.45	0.00
0	123.11	0.44	0.00
0	122.93	0.46	0.00
0	122.53	0.46	0.00
0	121.63	0.24	0.00
0	120.19	0.02	0.00
0	118.47	0.00	0.00
0	117.39	0.03	0.00
0	117.27	0.08	0.00
0	117.84	0.17	0.01
0	118.06	0.23	0.01
0	117.96	0.27	0.02
0	118.09	0.32	0.02
0	119.08	0.50	0.02
0	120.40	0.26	0.03
0	120.98	0.13	0.06
0	120.42	0.17	0.01
0	118.63	0.49	0.00
0	116.06	0.05	0.00
0	113.26	0.00	0.00
0	110.84	0.01	0.02
0	109.07	0.03	0.11
0	107.10	0.05	0.51
0	104.59	0.06	2.51
0	101.48	0.06	18.03
0	98.67	0.07	61.35
1	96.54	0.08	92.85 <-- alert is on, predicted changepoint
0	95.37	0.11	137.08
0	94.76	0.14	419.60
0	93.93	0.16	154.27
0	92.62	0.16	3.81
0	91.03	0.15	0.40
0	89.83	0.14	0.11
0	89.03	0.14	0.04
0	88.00	0.13	0.02
0	86.99	0.12	0.01
0	86.22	0.11	0.01
0	86.54	0.17	0.00
0	87.57	0.28	0.00
0	89.27	0.48	0.00
0	90.91	0.30	0.00
0	92.57	0.10	0.00
0	93.77	0.04	0.00
0	94.87	0.05	0.00
0	95.50	0.08	0.00
0	95.77	0.13	0.00
0	95.91	0.17	0.00
0	96.26	0.20	0.00
0	96.83	0.20	0.00
0	96.92	0.22	0.00
0	96.68	0.27	0.00
0	96.51	0.31	0.00
0	97.20	0.19	0.00
0	98.18	0.04	0.00
0	99.17	0.01	0.01
0	99.44	0.05	0.01
0	99.47	0.10	0.01
0	98.89	0.23	0.01
0	98.21	0.40	0.01
0	97.46	0.39	0.00
0	97.38	0.35	0.00
0	97.74	0.42	0.00
0	98.32	0.45	0.00
0	98.38	0.47	0.00
0	97.84	0.29	0.00
0	96.92	0.07	0.00
0	95.93	0.02	0.00
0	95.14	0.02	0.00
0	94.24	0.02	0.00
0	93.42	0.04	0.01
0	92.78	0.06	0.06
0	92.74	0.11	0.18
0	93.03	0.19	0.35
0	93.38	0.28	0.55
0	93.54	0.34	0.74
0	93.86	0.43	0.52
0	94.29	0.42	0.11
0	94.68	0.26	0.01
0	94.60	0.21	0.00
0	94.37	0.25	0.00
0	94.67	0.16	0.00
0	96.04	0.01	0.00
0	98.22	0.00	0.02
0	99.98	0.01	0.32
0	100.22	0.06	1.31
0	98.53	0.21	1.98
0	95.83	0.47	1.84
0	93.58	0.18	3.94
0	92.59	0.11	8.20
0	92.30	0.13	12.45
Counter: 366
