TIME	GEO	UNIT	INDX	COICOP	Value	Flag and Footnotes		
2005M04	France	Index	 2015=100	Agricultural commodity price index	Food	73.8	e	
2005M04	France	Index	 2015=100	Agricultural commodity price index	Bread and cereals	56.9	e	
2005M04	France	Index	 2015=100	Agricultural commodity price index	Bread	53.8	e	
2005M04	France	Index	 2015=100	Agricultural commodity price index	Meat	84.1	e	
2005M04	France	Index	 2015=100	Agricultural commodity price index	Beef and veal	83.6	e	
2005M04	France	Index	 2015=100	Agricultural commodity price index	Pork	93.8	e	
2005M04	France	Index	 2015=100	Agricultural commodity price index	Lamb and goat	75.8	e	
2005M04	France	Index	 2015=100	Agricultural commodity price index	Poultry	75.6	e	
2005M04	France	Index	 2015=100	Agricultural commodity price index	Fish and seafood	:		
2005M04	France	Index	 2015=100	Agricultural commodity price index	Milk	 cheese and eggs	79.5	e
2005M04	France	Index	 2015=100	Agricultural commodity price index	Fresh whole milk 	82.9	e	
2005M04	France	Index	 2015=100	Agricultural commodity price index	Yoghurt	82.9	e	
2005M04	France	Index	 2015=100	Agricultural commodity price index	Cheese and curd	82.9	e	
2005M04	France	Index	 2015=100	Agricultural commodity price index	Eggs	51.5	e	
2005M04	France	Index	 2015=100	Agricultural commodity price index	Oils and fats	55.2	e	
2005M04	France	Index	 2015=100	Agricultural commodity price index	Butter	83.3	e	
2005M04	France	Index	 2015=100	Agricultural commodity price index	Olive oil	:		
2005M04	France	Index	 2015=100	Agricultural commodity price index	Other edible oils	55.2	e	
2005M04	France	Index	 2015=100	Agricultural commodity price index	Fruit	87.2	e	
2005M04	France	Index	 2015=100	Agricultural commodity price index	Vegetables	99.8	e	
2005M04	France	Index	 2015=100	Agricultural commodity price index	Potatoes	55	e	
2005M04	France	Index	 2015=100	Agricultural commodity price index	Sugar	116.3	e	
2005M04	France	Index	 2015=100	Agricultural commodity price index	Coffee	 tea and cocoa	:	
2005M04	France	Index	 2015=100	Agricultural commodity price index	Fruit and vegetables juices 	83.7	e	
2005M04	France	Index	 2015=100	Agricultural commodity price index	Wine from grapes	68.9	e	
2005M04	France	Index	 2015=100	Agricultural commodity price index	Beer	53.8	e	
2005M05	France	Index	 2015=100	Agricultural commodity price index	Food	73.5	e	
2005M05	France	Index	 2015=100	Agricultural commodity price index	Bread and cereals	57.6	e	
2005M05	France	Index	 2015=100	Agricultural commodity price index	Bread	54.3	e	
2005M05	France	Index	 2015=100	Agricultural commodity price index	Meat	84.3	e	
2005M05	France	Index	 2015=100	Agricultural commodity price index	Beef and veal	84.1	e	
2005M05	France	Index	 2015=100	Agricultural commodity price index	Pork	93.6	e	
2005M05	France	Index	 2015=100	Agricultural commodity price index	Lamb and goat	74.6	e	
2005M05	France	Index	 2015=100	Agricultural commodity price index	Poultry	75.8	e	
2005M05	France	Index	 2015=100	Agricultural commodity price index	Fish and seafood	:		
2005M05	France	Index	 2015=100	Agricultural commodity price index	Milk	 cheese and eggs	78.4	e
2005M05	France	Index	 2015=100	Agricultural commodity price index	Fresh whole milk 	81.6	e	
2005M05	France	Index	 2015=100	Agricultural commodity price index	Yoghurt	81.6	e	
2005M05	France	Index	 2015=100	Agricultural commodity price index	Cheese and curd	81.6	e	
2005M05	France	Index	 2015=100	Agricultural commodity price index	Eggs	51.3	e	
2005M05	France	Index	 2015=100	Agricultural commodity price index	Oils and fats	55.9	e	
2005M05	France	Index	 2015=100	Agricultural commodity price index	Butter	82	e	
2005M05	France	Index	 2015=100	Agricultural commodity price index	Olive oil	:		
2005M05	France	Index	 2015=100	Agricultural commodity price index	Other edible oils	55.9	e	
2005M05	France	Index	 2015=100	Agricultural commodity price index	Fruit	85.3	e	
2005M05	France	Index	 2015=100	Agricultural commodity price index	Vegetables	98.6	e	
2005M05	France	Index	 2015=100	Agricultural commodity price index	Potatoes	55.3	e	
2005M05	France	Index	 2015=100	Agricultural commodity price index	Sugar	115.9	e	
2005M05	France	Index	 2015=100	Agricultural commodity price index	Coffee	 tea and cocoa	:	
