Date,Food Price Index
17-Feb,96.92
17-Mar,96.68
17-Apr,96.51
17-May,97.2
17-Jun,98.18
17-Jul,99.17
17-Aug,99.44
17-Sep,99.47
17-Oct,98.89
17-Nov,98.21
17-Dec,97.46
18-Jan,97.38
18-Feb,97.74
18-Mar,98.32
18-Apr,98.38
18-May,97.84
18-Jun,96.92
18-Jul,95.93
18-Aug,95.14
18-Sep,94.24
18-Oct,93.42
18-Nov,92.78
18-Dec,92.74
19-Jan,93.03
19-Feb,93.38
19-Mar,93.54
19-Apr,93.86
19-May,94.29
19-Jun,94.68
19-Jul,94.6
19-Aug,94.37
19-Sep,94.67
19-Oct,96.04
19-Nov,98.22
19-Dec,99.98
20-Jan,100.22
20-Feb,98.53
20-Mar,95.83
20-Apr,93.58
20-May,92.59
20-Jun,92.3
