Detect Persistent changes in pattern
=============== Training the model Using Change Point Detection Algorithm===============
=============== End of training process ===============
Alert	Score	P-Value	Martingale value
0	129.23	0.09	151.77
0	130.66	0.12	63.50
0	130.89	0.16	14.56
0	129.91	0.21	2.18
0	126.70	0.30	0.25
0	119.91	0.50	0.02
0	110.60	0.22	0.01
0	100.50	0.04	0.01
0	92.77	0.02	0.02
0	87.96	0.05	0.03
0	85.90	0.08	0.03
0	85.18	0.13	0.02
0	86.06	0.19	0.01
0	88.19	0.25	0.00
0	90.62	0.33	0.00
0	92.07	0.39	0.00
0	92.44	0.44	0.00
0	92.89	0.50	0.00
0	93.90	0.38	0.00
0	95.80	0.19	0.00
0	97.99	0.05	0.00
0	99.61	0.06	0.00
0	99.89	0.11	0.00
0	98.90	0.19	0.00
0	97.59	0.29	0.00
0	96.70	0.38	0.00
0	96.69	0.42	0.00
0	98.24	0.31	0.00
0	101.91	0.06	0.00
0	107.46	0.00	0.02
0	113.56	0.00	1.61
0	119.30	0.01	20.68
0	124.32	0.03	38.14
0	129.02	0.04	51.78
0	132.59	0.07	79.79
1	134.94	0.10	146.99 <-- alert is on, predicted changepoint
0	135.53	0.14	285.33
0	135.63	0.18	556.17
0	135.08	0.23	957.88
0	134.54	0.28	1068.52
0	133.44	0.33	212.72
0	131.87	0.42	1.01
0	129.77	0.45	0.01
0	127.24	0.25	0.00
0	125.19	0.10	0.00
0	123.82	0.05	0.00
0	123.79	0.10	0.00
0	124.34	0.17	0.00
0	124.27	0.21	0.00
0	122.68	0.17	0.00
0	120.61	0.12	0.00
0	119.73	0.12	0.00
0	120.99	0.22	0.00
0	122.71	0.37	0.00
0	123.99	0.46	0.00
0	123.98	0.41	0.00
0	123.69	0.41	0.00
0	123.32	0.45	0.00
0	123.21	0.47	0.00
0	123.11	0.47	0.00
0	122.93	0.49	0.00
0	122.53	0.45	0.00
0	121.63	0.29	0.00
0	120.19	0.09	0.00
0	118.47	0.01	0.00
0	117.39	0.02	0.00
0	117.27	0.07	0.00
0	117.84	0.16	0.00
0	118.06	0.22	0.00
0	117.96	0.25	0.00
0	118.09	0.30	0.00
0	119.08	0.46	0.00
0	120.40	0.33	0.00
0	120.98	0.21	0.00
0	120.42	0.24	0.00
0	118.63	0.47	0.00
0	116.06	0.05	0.00
0	113.26	0.00	0.00
0	110.84	0.01	0.01
0	109.07	0.03	0.04
0	107.10	0.04	0.16
0	104.59	0.05	0.70
0	101.48	0.05	3.57
0	98.67	0.06	22.36
0	96.54	0.08	80.04
1	95.37	0.11	145.53 <-- alert is on, predicted changepoint
0	94.76	0.14	235.49
0	93.93	0.16	633.67
0	92.62	0.16	206.29
0	91.03	0.15	4.99
0	89.83	0.14	0.45
0	89.03	0.15	0.10
0	88.00	0.14	0.03
0	86.99	0.13	0.01
0	86.22	0.12	0.01
0	86.54	0.17	0.00
0	87.57	0.27	0.00
0	89.27	0.44	0.00
0	90.91	0.36	0.00
0	92.57	0.17	0.00
0	93.77	0.07	0.00
0	94.87	0.05	0.00
0	95.50	0.08	0.00
0	95.77	0.12	0.00
0	95.91	0.16	0.00
0	96.26	0.18	0.00
0	96.83	0.19	0.00
0	96.92	0.22	0.00
0	96.68	0.26	0.00
0	96.51	0.30	0.00
0	97.20	0.22	0.00
0	98.18	0.08	0.00
0	99.17	0.02	0.00
0	99.44	0.05	0.00
0	99.47	0.09	0.00
0	98.89	0.21	0.00
0	98.21	0.37	0.00
0	97.46	0.43	0.00
0	97.38	0.38	0.00
0	97.74	0.45	0.00
0	98.32	0.42	0.00
0	98.38	0.44	0.00
0	97.84	0.34	0.00
0	96.92	0.07	0.00
0	95.93	0.02	0.00
0	95.14	0.02	0.00
0	94.24	0.03	0.00
0	93.42	0.03	0.00
0	92.78	0.05	0.01
0	92.74	0.10	0.05
0	93.03	0.18	0.10
0	93.38	0.26	0.16
0	93.54	0.31	0.21
0	93.86	0.40	0.23
0	94.29	0.49	0.17
0	94.68	0.35	0.04
0	94.60	0.29	0.00
0	94.37	0.31	0.00
0	94.67	0.17	0.00
0	96.04	0.01	0.00
0	98.22	0.00	0.01
0	99.98	0.01	0.08
0	100.22	0.05	0.24
0	98.53	0.20	0.30
0	95.83	0.50	0.20
0	93.58	0.21	0.36
0	92.59	0.12	1.23
0	92.30	0.13	2.91
Counter: 366
