Detect Persistent changes in pattern
=============== Training the model Using Change Point Detection Algorithm===============
=============== End of training process ===============
Alert	Score	P-Value	Martingale value
0	64.04	0.50	0.00
0	64.36	0.37	0.00
0	64.48	0.11	0.00
0	64.66	0.07	0.00
0	64.28	0.36	0.00
0	63.58	0.00	0.00
0	62.59	0.00	0.00
0	61.81	0.02	0.00
0	61.40	0.06	0.00
0	61.39	0.12	0.02
0	61.50	0.18	0.04
0	61.52	0.21	0.09
0	61.46	0.23	0.18
0	61.41	0.24	0.35
0	61.31	0.24	0.68
0	61.09	0.22	1.42
0	61.00	0.24	2.15
0	61.10	0.29	0.95
0	61.43	0.40	0.21
0	61.92	0.41	0.19
0	62.66	0.12	0.01
0	63.48	0.00	0.00
0	64.08	0.01	0.00
0	64.49	0.03	0.00
0	64.92	0.05	0.00
0	65.27	0.06	0.01
0	65.37	0.10	0.02
0	65.18	0.16	0.02
0	65.01	0.21	0.02
0	64.72	0.29	0.02
0	64.26	0.39	0.01
0	63.48	0.44	0.01
0	62.88	0.30	0.01
0	62.23	0.17	0.01
0	61.89	0.10	0.05
0	61.46	0.06	0.09
0	61.51	0.10	0.01
0	61.72	0.16	0.00
0	62.16	0.25	0.00
0	62.22	0.29	0.00
0	62.09	0.30	0.00
0	61.70	0.26	0.00
0	61.40	0.23	0.00
0	61.09	0.19	0.00
0	61.22	0.23	0.00
0	61.80	0.43	0.00
0	62.82	0.15	0.00
0	63.69	0.01	0.00
0	64.20	0.02	0.00
0	64.26	0.05	0.00
0	64.36	0.09	0.00
0	64.51	0.11	0.00
0	64.78	0.11	0.00
0	64.94	0.13	0.00
0	65.49	0.11	0.01
0	66.68	0.05	0.04
0	68.58	0.01	0.60
0	70.44	0.02	6.84
0	71.98	0.03	41.13
0	72.87	0.05	176.64
1	73.56	0.07	955.55 <-- alert is on, predicted changepoint
0	74.03	0.09	1477.94
0	74.33	0.12	118.49
0	74.41	0.15	15.12
0	74.98	0.16	5.58
