Detect Persistent changes in pattern
=============== Training the model Using Change Point Detection Algorithm===============
=============== End of training process ===============
Alert	Score	P-Value	Martingale value
0	64.04	0.50	0.00
0	64.36	0.37	0.00
0	64.48	0.11	0.00
0	64.66	0.07	0.00
0	64.28	0.36	0.00
0	63.58	0.00	0.00
0	62.59	0.00	0.00
0	61.81	0.02	0.02
0	61.40	0.06	0.13
0	61.39	0.12	0.47
0	61.50	0.18	1.19
0	61.52	0.21	2.58
0	61.46	0.23	5.24
0	61.41	0.24	10.13
0	61.31	0.26	14.13
0	61.09	0.25	7.06
0	61.00	0.26	2.29
0	61.10	0.30	2.71
0	61.43	0.46	0.03
0	61.92	0.17	0.00
0	62.66	0.00	0.01
0	63.48	0.00	0.18
0	64.08	0.02	1.10
0	64.49	0.04	4.35
0	64.92	0.06	14.35
0	65.27	0.08	37.47
0	65.37	0.12	71.23
0	65.18	0.18	97.17
0	65.01	0.24	98.37
0	64.72	0.32	79.43
0	64.26	0.45	55.72
0	63.48	0.35	71.59
0	62.88	0.18	67.88
0	62.23	0.06	0.33
0	61.89	0.05	0.02
0	61.46	0.06	0.01
0	61.51	0.11	0.00
0	61.72	0.18	0.00
0	62.16	0.29	0.00
0	62.22	0.33	0.00
0	62.09	0.34	0.00
0	61.70	0.28	0.00
0	61.40	0.23	0.00
0	61.09	0.15	0.00
0	61.22	0.19	0.00
0	61.80	0.49	0.00
0	62.82	0.01	0.00
0	63.69	0.00	0.01
0	64.20	0.02	0.02
0	64.26	0.06	0.03
0	64.36	0.10	0.05
0	64.51	0.13	0.10
0	64.78	0.14	0.22
0	64.94	0.16	0.44
0	65.49	0.13	0.90
0	66.68	0.05	3.29
0	68.58	0.01	27.68
1	70.44	0.01	283.38 <-- alert is on, predicted changepoint
0	71.98	0.02	4234.40
0	72.87	0.05	1337.64
0	73.56	0.07	56.18
0	74.03	0.10	12.60
0	74.33	0.14	6.42
0	74.41	0.17	3.93
0	74.98	0.18	2.86
